name,wikt_code,bucket,family,era_start,era_end,era_label,era_certain,is_proto,is_english_stage,source
English,en,Germanic,germanic,1500,9999,1500–present,1,0,1,Modern English
Middle English,enm,Germanic,germanic,1150,1500,c. 1150–1500,1,0,1,Middle English
Old English,ang,Germanic,germanic,450,1150,c. 450–1150,1,0,1,Old English
Scots,sco,Germanic,germanic,1400,9999,c. 1400–present,1,0,1,Scots language
Proto-West Germanic,gmw-pro,Germanic,germanic,200,500,c. 200–500 CE,0,1,0,Proto-West Germanic (undated on Wikipedia; bracketed between Proto-Germanic and Old English)
Proto-Germanic,gem-pro,Germanic,germanic,-500,200,c. 500 BCE–200 CE,1,1,0,Proto-Germanic language
German,de,Germanic,germanic,1500,9999,1500–present,1,0,0,German language
Middle High German,gmh,Germanic,germanic,1050,1350,c. 1050–1350,1,0,0,Middle High German
Old High German,goh,Germanic,germanic,750,1050,c. 750–1050,1,0,0,Old High German
Low German,nds,Germanic,germanic,1600,9999,1600–present,1,0,0,Low German
Middle Low German,gml,Germanic,germanic,1100,1600,c. 1100–1600,1,0,0,Middle Low German
Old Saxon,osx,Germanic,germanic,800,1100,c. 800–1100,1,0,0,Old Saxon
Dutch,nl,Germanic,germanic,1500,9999,1500–present,1,0,0,Dutch language
Middle Dutch,dum,Germanic,germanic,1150,1500,c. 1150–1500,1,0,0,Middle Dutch
Old Dutch,odt,Germanic,germanic,500,1150,c. 500–1150,1,0,0,Old Dutch
Afrikaans,af,Germanic,germanic,1700,9999,1700–present,1,0,0,Afrikaans
West Frisian,fy,Germanic,germanic,1550,9999,1550–present,1,0,0,West Frisian
Old Frisian,ofs,Germanic,germanic,1150,1550,c. 1150–1550,1,0,0,Old Frisian
Frankish,frk,Germanic,germanic,400,900,c. 400–900,0,0,0,Frankish language
Gothic,got,Germanic,germanic,300,700,c. 300–700,1,0,0,Gothic language
Yiddish,yi,Germanic,germanic,1100,9999,c. 1100–present,1,0,0,Yiddish
Old Norse,non,Norse,germanic,700,1350,c. 700–1350,1,0,0,Old Norse
Icelandic,is,Norse,germanic,1550,9999,1550–present,1,0,0,Icelandic
Swedish,sv,Norse,germanic,1500,9999,1500–present,1,0,0,Swedish language
Danish,da,Norse,germanic,1500,9999,1500–present,1,0,0,Danish language
